Library Name,Library Photo,Phone Number,Bus Route,Monday Opening Time,Monday Closing Time,Tuesday Opening Time,Tuesday Closing Time,Wednesday Opening Time,Wednesday Closing Time,Thursday Opening Time,Thursday Closing Time,Friday Opening Time,Friday Closing Time,Saturday Opening Time ,Saturday Closing Time,Sunday Opening Time,Sunday Closing Time,Books and Materials,Downloadable Materials,Streaming Materials,Story Times,Conference Center,Meeting Rooms,Art Gallery,Public Computers,Public Internet,Wireless,Group Study Rooms,Copy Machines,Seed Exchange,Studio NPL,Restrooms,Book Drop,Notes,Location,coords,address,city_state_zip
North,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_NO.jpg),615-862-5858,"#29, #42",10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1001 Monroe Street
Nashville, TN 37208
(36.174413, -86.795942)","(36.174413, -86.795942)",1001 Monroe Street,"Nashville, TN 37208"
Southeast ,View Photo (http://dataimages.nashville.gov/Metro_Libraries/SE_exterior.jpg),615-862-5871,"#15, #55 BRT",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"5260 Hickory Hollow Parkway
Antioch, TN 37013
(36.048391, -86.657027)","(36.048391, -86.657027)",5260 Hickory Hollow Parkway,"Antioch, TN 37013"
Edmondson Pike,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EP.jpg),615-880-3957,"#37, #72",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"CLOSED for renovation until May 2016
Call library to confirm hours on holidays and in the event of severe weather.","5501 Edmondson Pike
Nashville, TN 37211
(36.044746, -86.744004)","(36.044746, -86.744004)",5501 Edmondson Pike,"Nashville, TN 37211"
Bordeaux,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_BX.jpg),615-862-5856,#22,10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"4000 Clarksville Pike
Nashville, TN 37218
(36.211684, -86.838746)","(36.211684, -86.838746)",4000 Clarksville Pike,"Nashville, TN 37218"
Old Hickory,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_OH.jpg),615-862-5869,#27,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1010 Jones Street
Old Hickokry, TN 37138
(36.260014, -86.645958)","(36.260014, -86.645958)",1010 Jones Street,"Old Hickokry, TN 37138"
Madison,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_ma.jpg),615-862-5868,"#26, #56, #76",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"610 Gallatin Pike South
Madison, TN 37115
(36.257054, -86.714041)","(36.257054, -86.714041)",610 Gallatin Pike South,"Madison, TN 37115"
Hermitage ,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_HM.jpg),615-880-3951,#6,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"3700 James Kay Lane
Hermitage, TN 370706
(36.177515, -86.61674)","(36.177515, -86.61674)",3700 James Kay Lane,"Hermitage, TN 370706"
Goodlettsville,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_go_new_small.jpg),615-862-5862,,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, ,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday. Call library to confirm hours on holidays and in the event of severe weather.,"205 Rivergate Parkway
Goodlettsville, TN 37072
(36.314643, -86.709932)","(36.314643, -86.709932)",205 Rivergate Parkway,"Goodlettsville, TN 37072"
Pruitt,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_PR.jpg),615-862-5985,#25,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"117 Charles E. Davis Boulevard
Nashville, TN 37210
(36.151725, -86.762036)","(36.151725, -86.762036)",117 Charles E. Davis Boulevard,"Nashville, TN 37210"
Donelson,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_DO.jpg),615-862-5859,#6,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, , ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"2315 Lebanon Road
Nashville, TN 37214
(36.168936, -86.683548)","(36.168936, -86.683548)",2315 Lebanon Road,"Nashville, TN 37214"
Looby,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_LO.jpg),615-862-5867,#9,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"2301 Rosa L. Parks Boulevard
Nashville, TN 37228
(36.193625, -86.808126)","(36.193625, -86.808126)",2301 Rosa L. Parks Boulevard,"Nashville, TN 37228"
